Video name: there is no tomorrow
Author: Felipe
Duration: 153s
------------------------------
[00:00.4 - 00:05.8] | inside inside inside baby
[00:08.1 - 00:14.7] | side damn man what the hell are you
[00:10.3 - 00:17.8] | doing this guy will knock you on your
[00:14.7 - 00:19.8] | ass come on Rock it's not a game you
[00:17.8 - 00:20.8] | want to L up in the hospital for 5 weeks
[00:19.8 - 00:23.0] | this
[00:20.8 - 00:26.0] | time you thought I was tough this jump
[00:23.0 - 00:28.4] | will kill you all right come on come on
[00:26.0 - 00:31.0] | get your head on your shoulders
[00:28.4 - 00:34.5] | man damn rck come
[00:31.0 - 00:38.0] | on what's the matter with you
[00:34.5 - 00:40.7] | tomorrow tomorrow there is no
[00:38.0 - 00:44.5] | tomorrow there is no
[00:40.7 - 00:44.5] | tomorrow there is no
[00:45.0 - 00:49.3] | [Music]
[00:49.4 - 00:53.2] | tomorrow over
[00:54.0 - 00:60.0] | plan what's the matter with
[00:57.4 - 01:02.2] | you we wouldn't had to title this long
[00:60.0 - 01:05.2] | So what at least it would have been real
[01:02.2 - 01:07.2] | aan it was real nothing is real if you
[01:05.2 - 01:10.9] | don't believe in who you are I don't
[01:07.2 - 01:10.9] | believe in myself no more don't you
[01:15.0 - 01:20.1] | understand I'm on my way I'm
[01:20.6 - 01:23.9] | on I'm
[01:26.7 - 01:32.3] | on the world ain't all sunshine and
[01:29.2 - 01:34.3] | rainbows it's a very mean and nasty
[01:32.3 - 01:36.4] | place and I don't care how tough you are
[01:34.3 - 01:38.7] | it will beat you to your knees and keep
[01:36.4 - 01:41.3] | you there permanently if you let it you
[01:38.7 - 01:44.5] | me nobody is going to hit as hard as
[01:41.3 - 01:47.0] | life but it ain't about how hard you hit
[01:44.5 - 01:49.6] | it's about how hard you can get hit and
[01:47.0 - 01:52.6] | keep moving forward how much it take and
[01:49.6 - 01:54.5] | keep moving forward that's how win it is
[01:52.6 - 01:56.2] | done now if you know what your worth now
[01:54.5 - 01:58.2] | go out and get what your worth but you
[01:56.2 - 02:00.0] | got to be willing to take the hits and
[01:58.2 - 02:01.8] | not pointing fingers saying you Ain
[02:00.0 - 02:04.8] | where you want to be because of him or
[02:01.8 - 02:07.6] | her or anybody cowards do that and that
[02:04.8 - 02:11.5] | ain't you you're better than that you
[02:07.6 - 02:13.6] | can't be alone to really succeed no man
[02:11.5 - 02:15.8] | really is an IR when you find the right
[02:13.6 - 02:18.3] | components in your life the right people
[02:15.8 - 02:21.7] | that jeal with you then you feel as
[02:18.3 - 02:23.6] | though you you're Invincible it may be a
[02:21.7 - 02:25.7] | fallacy but you at least feel as though
[02:23.6 - 02:28.1] | you can you can take all that life has
[02:25.7 - 02:28.1] | to dish
[02:28.8 - 02:31.8] | out
